epoch,acc,loss,lr,val_acc,val_loss
0,0.060440000146627426,4.712748050689697,0.001,0.08089999854564667,4.470807075500488
1,0.14726999402046204,3.9142918586730957,0.001,0.09279999881982803,4.627755641937256
2,0.1961899995803833,3.6063215732574463,0.001,0.20550000667572021,3.540475845336914
3,0.24821999669075012,3.283355712890625,0.001,0.2639999985694885,3.226646900177002
4,0.2836399972438812,3.0906591415405273,0.001,0.2840999960899353,3.109441041946411
5,0.318340003490448,2.892360210418701,0.001,0.28690001368522644,3.1031782627105713
6,0.3513199985027313,2.7220466136932373,0.001,0.31619998812675476,2.916242837905884
7,0.37968000769615173,2.5711686611175537,0.001,0.3206999897956848,2.9431674480438232
8,0.4083400070667267,2.4126946926116943,0.001,0.3433000147342682,2.812406301498413
9,0.4369199872016907,2.2746572494506836,0.001,0.37619999051094055,2.663723945617676
